id,content,answers.content,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.atmosphere,answers.content,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.atmosphere,answers.content,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.activity,answers.atmosphere
62,青城山是道教名山是对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
63,京剧表演的四种艺术手法是“说学逗唱”还是“唱念做打”？,唱念做打,32,30,28,26,24,16,4,唱念做打。,32,30,28,26,24,16,4,,,,,,,,
64,女儿红属于白酒还是黄酒？,黄酒,32,30,28,26,24,16,4,黄酒。,32,30,28,26,24,16,4,,,,,,,,
65,“变脸”是哪个剧种的绝活？,川剧,32,30,28,26,24,16,4,川剧。,32,30,28,26,24,16,4,,,,,,,,
66,婉约词派代表，有“千古第一才女”之称的宋代女词人是？,李清照,32,30,28,26,24,16,4,李清照。,32,30,28,26,24,16,4,,,,,,,,
67,我国第一部兵法是孙子写的什么兵法？,孙子兵法,32,30,28,26,24,16,4,孙子兵法。,32,30,28,26,24,16,4,,,,,,,,
68,中国最大的石窟艺术群是龙门石窟还是莫高窟？,莫高窟,32,30,28,26,24,16,4,莫高窟。,32,30,28,26,24,16,4,,,,,,,,
69,国产电影《喜剧之王》的男主角是谁饰演的？,周星驰,32,30,28,26,24,16,4,周星驰。,32,30,28,26,24,16,4,,,,,,,,
70,足球界被誉名为球王的人是谁？,贝利,32,30,28,26,24,16,4,贝利。,32,30,28,26,24,16,4,,,,,,,,
71,《龙珠》中孙悟空的第一个孩子叫什么名字？,孙悟饭,32,30,28,26,24,16,4,孙悟饭。,32,30,28,26,24,16,4,,,,,,,,
72,白蚁是不是蚂蚁？（请回答是或不是）,不是,32,30,28,26,24,16,4,不是。,32,30,28,26,24,16,4,,,,,,,,
73,金庸电视剧《倚天屠龙记》中，张无忌学会的明教最高深的武功叫什么？,乾坤大挪移,32,30,28,26,24,16,4,乾坤大挪移。,32,30,28,26,24,16,4,,,,,,,,
74,金庸电视剧《天龙八部》中，段誉追求的“神仙姐姐”叫什么？,王语嫣,32,30,28,26,24,16,4,王语嫣。,32,30,28,26,24,16,4,,,,,,,,
75,曾饰演许文强、小马哥、赌神，等经典角色的香港男影星是谁？,周润发,32,30,28,26,24,16,4,周润发。,32,30,28,26,24,16,4,,,,,,,,
76,徐克电影《笑傲江湖》的东方不败由哪位女演员扮演的？,林青霞,32,30,28,26,24,16,4,林青霞。,32,30,28,26,24,16,4,,,,,,,,
77,由龚琳娜演唱的，被称为神曲的歌是？,忐忑,32,30,28,26,24,16,4,忐忑。,32,30,28,26,24,16,4,,,,,,,,
78,有小哥一称，与周杰伦共同演唱千里之外的男歌手是谁？,费玉清,32,30,28,26,24,16,4,费玉清。,32,30,28,26,24,16,4,,,,,,,,
79,书画作品中的“四君子”是指哪四种植物？,梅兰竹菊,32,30,28,26,24,16,4,梅兰竹菊。,32,30,28,26,24,16,4,,,,,,,,
80,有一个字，人人见了都会念错。这是什么字？,错,32,30,28,26,24,16,4,错。,32,30,28,26,24,16,4,,,,,,,,
81,什么动物你打死了它，却流了你的血？,蚊子,32,30,28,26,24,16,4,蚊子。,32,30,28,26,24,16,4,,,,,,,,
82,有一个东西，你能用左手拿，不能用右手拿，这东西是什么？,右手,32,30,28,26,24,16,4,右手。,32,30,28,26,24,16,4,,,,,,,,
83,国歌一共有几个字？,两个,32,30,28,26,24,16,4,两个。,32,30,28,26,24,16,4,,,,,,,,
84,用哪三个字可以回答一切问题？,不知道,32,30,28,26,24,16,4,不知道。,32,30,28,26,24,16,4,,,,,,,,
85,昨天的后天是哪一天？,明天,32,30,28,26,24,16,4,明天。,32,30,28,26,24,16,4,,,,,,,,
86,明天的前天是哪一天？,昨天,32,30,28,26,24,16,4,昨天。,32,30,28,26,24,16,4,,,,,,,,
87,沙漠中最常见的东西是什么？,沙子,32,30,28,26,24,16,4,沙子。,32,30,28,26,24,16,4,,,,,,,,
88,什么样的山和海可以移动？,人山人海,32,30,28,26,24,16,4,人山人海。,32,30,28,26,24,16,4,,,,,,,,
89,金庸电视剧《天龙八部》中，段誉最擅长的轻功名字叫？,凌波微步,32,30,28,26,24,16,4,凌波微步。,32,30,28,26,24,16,4,,,,,,,,
90,金庸电视剧《笑傲江湖》中，令狐冲和风清扬学习的武功名字叫？,独孤九剑,32,30,28,26,24,16,4,独孤九剑。,32,30,28,26,24,16,4,,,,,,,,
91,世界上最大的宫殿是坐落于北京的故宫还是圆明园？,故宫,32,30,28,26,24,16,4,故宫。,32,30,28,26,24,16,4,,,,,,,,
92,经常用来庆祝胜利的香槟酒起源于法国还是英国？,法国,32,30,28,26,24,16,4,法国。,32,30,28,26,24,16,4,,,,,,,,
93,第一届世界杯是在意大利举行还是乌拉圭举行？,乌拉圭,32,30,28,26,24,16,4,乌拉圭。,32,30,28,26,24,16,4,,,,,,,,
94,中国三大火炉除了重庆、南京还有哪个城市？,武汉,32,30,28,26,24,16,4,武汉。,32,30,28,26,24,16,4,,,,,,,,
95,绰号“兵工厂”的足球俱乐部是阿森纳还是皇家马德里？,阿森纳,32,30,28,26,24,16,4,阿森纳。,32,30,28,26,24,16,4,,,,,,,,
96,足球比赛中球压在边线上算不算出界？,不算,32,30,28,26,24,16,4,不算。,32,30,28,26,24,16,4,,,,,,,,
97,根据“五羊”传说而有“羊城”之名的是我国哪座城市？,广州,32,30,28,26,24,16,4,广州。,32,30,28,26,24,16,4,,,,,,,,
98,头戴礼帽，足登大皮靴，走路像鸭子的著名喜剧演员是谁？,卓别林,32,30,28,26,24,16,4,卓别林。,32,30,28,26,24,16,4,,,,,,,,
99,中国哪个传统节日又叫团圆节？,中秋,32,30,28,26,24,16,4,中秋。,32,30,28,26,24,16,4,,,,,,,,
100,2008年北京奥运会开幕式和闭幕式的总导演是谁？,张艺谋,32,30,28,26,24,16,4,张艺谋。,32,30,28,26,24,16,4,,,,,,,,
101,阿斯匹林是常用药，它的主要功能是解热止痛，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
102,姚明曾在NBA为哪一只球队效力？,火箭,32,30,28,26,24,16,4,火箭。,32,30,28,26,24,16,4,,,,,,,,
103,曾经的九大行星中距太阳最远的是哪个行星？,冥王星,32,30,28,26,24,16,4,冥王星。,32,30,28,26,24,16,4,,,,,,,,
104,湘绣是以我国哪个城市为中心的刺绣品的总称？,长沙,32,30,28,26,24,16,4,长沙。,32,30,28,26,24,16,4,,,,,,,,
105,格林童话的灰姑娘参加舞会的车是由什么变成的？,南瓜,32,30,28,26,24,16,4,南瓜。,32,30,28,26,24,16,4,,,,,,,,
106,煮海带时放几点醋就可以一煮就烂，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
107,人间天堂香格里拉在我国哪个省？,云南,32,30,28,26,24,16,4,云南。,32,30,28,26,24,16,4,,,,,,,,
108,有“钢琴之岛”美誉的彭浪屿在哪个省？,福建,32,30,28,26,24,16,4,福建。,32,30,28,26,24,16,4,,,,,,,,
109,佛教和全真教，哪个门派的教徒不会撒谎？,全真,32,30,28,26,24,16,4,全真。,32,30,28,26,24,16,4,,,,,,,,
110,地动仪是中国四大发明之一，对还是错？,错,32,30,28,26,24,16,4,错。,32,30,28,26,24,16,4,,,,,,,,
111,我国明代七下西洋的航海家是谁？,郑和,32,30,28,26,24,16,4,郑和。,32,30,28,26,24,16,4,,,,,,,,
112,光年是时间单位还是长度单位？,长度,32,30,28,26,24,16,4,长度。,32,30,28,26,24,16,4,,,,,,,,
113,我们常说的歇后语“麻雀虽小”下一句是什么？,五脏俱全,32,30,28,26,24,16,4,五脏俱全。,32,30,28,26,24,16,4,,,,,,,,
114,网络上为避免被别人猜到，在常用的帐号之外注册了其他帐号发表言论的行为，叫做穿什么？,马甲,32,30,28,26,24,16,4,马甲。,32,30,28,26,24,16,4,,,,,,,,
115,“给我一次机会我想做个好人”是刘德华在哪部著名香港影片中的台词？,无间道,32,30,28,26,24,16,4,无间道。,32,30,28,26,24,16,4,,,,,,,,
116,发明馒头的是诸葛亮还是贾诩？,诸葛亮,32,30,28,26,24,16,4,诸葛亮。,32,30,28,26,24,16,4,,,,,,,,
117,零分贝指的是完全没有任何声音，对还是错？,错,32,30,28,26,24,16,4,错。,32,30,28,26,24,16,4,,,,,,,,
118,有迷幻王子之称，代表作有《说谎》、《你是我的眼》的歌手是林宥嘉，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
119,不能用开水煮中药的原因是开水会使淀粉和蛋白凝结，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
120,收藏有油画《蒙娜丽莎》等珍贵作品的欧洲著名博物馆是哪一座？,卢浮宫,32,30,28,26,24,16,4,卢浮宫。,32,30,28,26,24,16,4,,,,,,,,
121,代表作是《我怀念的》《遇见》《绿光》的新加坡国宝级女歌手是？,孙燕姿,32,30,28,26,24,16,4,孙燕姿。,32,30,28,26,24,16,4,,,,,,,,
122,诗经名句“执子之手，与子偕老”最初描写的是战友之情，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
123,世界上第一家七星级酒店“帆船酒店”是在哪个城市？,迪拜,32,30,28,26,24,16,4,迪拜。,32,30,28,26,24,16,4,,,,,,,,
124,中国首位获得国际肖邦钢琴大赛金奖的钢琴家是李云迪还是郎朗？,李云迪,32,30,28,26,24,16,4,李云迪。,32,30,28,26,24,16,4,,,,,,,,
125,电视剧《来自星星的你》女主角是哪位韩国著名女演员？,全智贤,32,30,28,26,24,16,4,全智贤。,32,30,28,26,24,16,4,,,,,,,,
126,《水浒传》中，外号“及时雨”的英雄是谁？,宋江,32,30,28,26,24,16,4,宋江。,32,30,28,26,24,16,4,,,,,,,,
127,产自贝壳体内，由于内分泌作用而生成的矿物珠粒叫什么？,珍珠,32,30,28,26,24,16,4,珍珠。,32,30,28,26,24,16,4,,,,,,,,
128,俗话说“君子爱财”的下一句是什么？,取之有道,32,30,28,26,24,16,4,取之有道。,32,30,28,26,24,16,4,,,,,,,,
129,陵南队的天才少年仙道彰是哪部动漫中的人物？,灌篮高手,32,30,28,26,24,16,4,灌篮高手。,32,30,28,26,24,16,4,,,,,,,,
130,上海地区将小巷称为“弄堂”，那么北京地区将小巷称之为什么？,胡同,32,30,28,26,24,16,4,胡同。,32,30,28,26,24,16,4,,,,,,,,
131,童话故事中，一说谎话鼻子就会变长的木偶叫什么名字？,匹诺曹,32,30,28,26,24,16,4,匹诺曹。,32,30,28,26,24,16,4,,,,,,,,
132,稀土是指的土壤还是金属？,金属,32,30,28,26,24,16,4,金属。,32,30,28,26,24,16,4,,,,,,,,
133,老板不会做饭，可有一道菜特别拿手，是什么菜？,炒鱿鱼,32,30,28,26,24,16,4,炒鱿鱼。,32,30,28,26,24,16,4,,,,,,,,
134,2008年奥运会的口号是“同一个世界，同一个梦想”，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
135,爱丽丝梦游仙境里，爱丽丝是为了追赶什么动物而掉下了神奇的地下世界？,兔子,32,30,28,26,24,16,4,兔子。,32,30,28,26,24,16,4,,,,,,,,
136,春秋战国时期的诸子百家包括佛家，对还是错？,错,32,30,28,26,24,16,4,错。,32,30,28,26,24,16,4,,,,,,,,
137,世界上最早记载哈雷彗星的书是《春秋》还是《史记》？,春秋,32,30,28,26,24,16,4,春秋。,32,30,28,26,24,16,4,,,,,,,,
138,指南针不叫指北针是因为面南而尊，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
139,我国最早的表演艺术是杂技还是戏曲？,杂技,32,30,28,26,24,16,4,杂技。,32,30,28,26,24,16,4,,,,,,,,
140,《道德经》是老子写的还是孔子写的？,老子,32,30,28,26,24,16,4,老子。,32,30,28,26,24,16,4,,,,,,,,
141,成语“乌合之众”中的“乌”指的是什么动物？,乌鸦,32,30,28,26,24,16,4,乌鸦。,32,30,28,26,24,16,4,,,,,,,,
142,《鬼谷子》一书的作者是谁？,鬼谷子,32,30,28,26,24,16,4,鬼谷子。,32,30,28,26,24,16,4,,,,,,,,
143,中国烤鸭特别出名的是哪个城市？,北京,32,30,28,26,24,16,4,北京。,32,30,28,26,24,16,4,,,,,,,,
144,霸王别姬讲的是谁的故事？,项羽,32,30,28,26,24,16,4,项羽。,32,30,28,26,24,16,4,,,,,,,,
145,“飞流直下三千尺，疑是银河落九天”指的是哪个风景区？,庐山,32,30,28,26,24,16,4,庐山。,32,30,28,26,24,16,4,,,,,,,,
146,墨家代表人物是谁？,墨子,32,30,28,26,24,16,4,墨子。,32,30,28,26,24,16,4,,,,,,,,
147,成语“引人入胜”被用于形容从事现代的哪个职业？,导游,32,30,28,26,24,16,4,导游。,32,30,28,26,24,16,4,,,,,,,,
148,我们通常所说“煤气中毒”是由于煤气中一氧化碳还是二氧化碳吸入过量造成的？,一氧化碳,32,30,28,26,24,16,4,一氧化碳。,32,30,28,26,24,16,4,,,,,,,,
149,“爆竹声中一岁除，春风送暖入屠苏”中的“屠苏”指的是酒，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
150,我国的京剧脸谱色彩含义丰富，红色一般表示忠勇侠义，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
151,我国的京剧脸谱色彩含义丰富，白色一般表示阴险奸诈，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
152,我国的京剧脸谱色彩含义丰富，黑色一般表示忠耿正直，对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
153,“成吉思汗”中的“汗”是指大王，“成吉思”的意思是指“大漠”还是“大海”？,大海,32,30,28,26,24,16,4,大海。,32,30,28,26,24,16,4,,,,,,,,
154,金庸小说《射雕英雄传》中第一次华山论剑的胜利者是哪一位？,王重阳,32,30,28,26,24,16,4,王重阳。,32,30,28,26,24,16,4,,,,,,,,
155,“但愿人长久，千里共婵娟”中的“婵娟”指什么？,月亮,32,30,28,26,24,16,4,月亮。,32,30,28,26,24,16,4,,,,,,,,
156,“人在江湖，身不由己”这句话出自哪一位武侠作家？,古龙,32,30,28,26,24,16,4,古龙。,32,30,28,26,24,16,4,,,,,,,,
157,信天游是中国哪个省的民歌风格？,陕西,32,30,28,26,24,16,4,陕西。,32,30,28,26,24,16,4,,,,,,,,
158,曹雪芹的《红楼梦》中，葬花的人是薛宝钗还是林黛玉？,林黛玉,32,30,28,26,24,16,4,林黛玉。,32,30,28,26,24,16,4,,,,,,,,
159,《灌篮高手》中，因为赤木晴子的一句“你喜欢篮球吗？”而加入校篮球队的角色是谁？,樱木花道,32,30,28,26,24,16,4,樱木花道。,32,30,28,26,24,16,4,,,,,,,,
160,《灌篮高手》中，湘北高中篮球队王牌小前锋，樱木花道的搭档是谁？,流川枫,32,30,28,26,24,16,4,流川枫。,32,30,28,26,24,16,4,,,,,,,,
161,《圣斗士》动漫中，凤凰星座一辉最拿手的绝技是凤翅天翔，请问对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
162,中国第一位登录美国NBA的篮球运动员是谁？,王治郅,32,30,28,26,24,16,4,王治郅。,32,30,28,26,24,16,4,,,,,,,,
163,海马是不是马？（请回答是或不是）,不是,32,30,28,26,24,16,4,不是。,32,30,28,26,24,16,4,,,,,,,,
164,黑木耳具有化解肾结石作用是对还是错？,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
165,刚刚出生的婴儿啼哭的时候有眼泪吗？（请回答有或没有）,没有,32,30,28,26,24,16,4,没有。,32,30,28,26,24,16,4,,,,,,,,
166,天气预报起源于法国还是英国？,法国,32,30,28,26,24,16,4,法国。,32,30,28,26,24,16,4,,,,,,,,
167,中国现存海拔最高的宫殿是太极宫还是布达拉宫？,布达拉宫,32,30,28,26,24,16,4,布达拉宫。,32,30,28,26,24,16,4,,,,,,,,
168,如果昨天是明天的话，今天就周五了。请问句子中的今天到底是周几？,三,32,30,28,26,24,16,4,三。,32,30,28,26,24,16,4,,,,,,,,
169,“沧海月明珠有泪，蓝田日暖玉生烟”出自那首诗？,锦瑟,32,30,28,26,24,16,4,锦瑟。,32,30,28,26,24,16,4,,,,,,,,
170,哪位诗人写了一首长篇叙事诗，讲述了玄宗皇帝与贵妃的爱情悲剧？,白居易,32,30,28,26,24,16,4,白居易。,32,30,28,26,24,16,4,,,,,,,,
171,荷兰的风车主要用于排水？（请回答对或错）,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
172,被称为“万园之园”的是指？,圆明园,32,30,28,26,24,16,4,圆明园。,32,30,28,26,24,16,4,,,,,,,,
173,被称作“草原钢城”的是指包头？（请回答对或错）,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
174,一次性筷子的发明者是哪国人？,日本,32,30,28,26,24,16,4,日本。,32,30,28,26,24,16,4,,,,,,,,
175,世界上最大的平原是？,亚马逊平原,32,30,28,26,24,16,4,亚马逊平原。,32,30,28,26,24,16,4,,,,,,,,
176,三大金字塔中最大的是？,胡夫金字塔,32,30,28,26,24,16,4,胡夫金字塔。,32,30,28,26,24,16,4,,,,,,,,
177,鸡尾酒会最早出现于拉丁美洲？（请回答对或错）,对,32,30,28,26,24,16,4,对。,32,30,28,26,24,16,4,,,,,,,,
178,武侯祠在什么地方？,成都,32,30,28,26,24,16,4,成都。,32,30,28,26,24,16,4,,,,,,,,
179,公元230年，孙权派卫温率船队到达夷洲。夷洲今是何地？,台湾,32,30,28,26,24,16,4,台湾。,32,30,28,26,24,16,4,,,,,,,,
180,中国第一座佛教寺院是？,白马寺,32,30,28,26,24,16,4,白马寺。,32,30,28,26,24,16,4,,,,,,,,
181,甲骨文是写在什么上面的？（请回答龟壳或贝壳）,龟壳,32,30,28,26,24,16,4,龟壳。,32,30,28,26,24,16,4,,,,,,,,
182,以“无字碑”名扬天下的是？,武则天,32,30,28,26,24,16,4,武则天。,32,30,28,26,24,16,4,,,,,,,,
183,美国的国花是什么花？,玫瑰,32,30,28,26,24,16,4,玫瑰。,32,30,28,26,24,16,4,,,,,,,,
184,“匈奴未灭，何以家为”是谁的豪言？,霍去病,32,30,28,26,24,16,4,霍去病。,32,30,28,26,24,16,4,,,,,,,,
185,以谁为代表的出海求仙药的方士是我国历史上最早的航海探险家？,徐福,32,30,28,26,24,16,4,徐福。,32,30,28,26,24,16,4,,,,,,,,
