id,name,icon,desc,spine,origin
105,默认,touxiang_tuobayupei,拓跋瑾默认皮肤,npc/tuobayupei,
10501,谒金门,touxiang_tuobayupei1,裁玄夜色被身肩，重整山河谒金门。绝等伙伴拓跋瑾的皮肤。,npc/tuobayupei_1,400
10502,丝竹妙音,touxiang_tuobayupei2,丝竹声声，妙音呈佳境。绝等伙伴拓跋瑾的皮肤。,npc/tuobayupei_2,400
10503,玉壶冰,touxiang_tuobayupei3,研寒金井水，檐动玉壶冰。绝等伙伴拓跋瑾的皮肤。,npc/tuobayupei_3,31
106,默认,touxiang_lichangle,李长乐默认皮肤,npc/lichangle,
10601,祸国姿,touxiang_lichangle1,纵有倾城倾国姿，又有何人能解心呢？绝等伙伴李长乐的皮肤。,npc/lichangle_1,400
10602,望舒御月,touxiang_lichangle2,玉兔登桂，缥缈若望舒御冰轮。绝等伙伴李长乐的皮肤。,npc/lichangle_2,2027
10603,宴瑶池,touxiang_lichangle3,蓬莱仙影瑶池宴，珠帘金台卧凤凰。绝等伙伴李长乐的皮肤。,npc/lichangle_3,400
107,默认,touxiang_lichangru,李常茹默认皮肤,npc/lichangru,
10701,执笔相思,touxiang_lichangru1,究竟是怎样的笔墨，才能描绘你眉间的淡霭呢？绝等伙伴李常茹的皮肤。,npc/lichangru_1,400
10702,宛清扬,touxiang_lichangru2,有美一人，清扬婉兮。邂逅相遇，适我愿兮。绝等伙伴李常茹的皮肤。,npc/lichangru_2,2042
10703,花欲燃,touxiang_lichangru3,渐渐瑶英，密洒翠筠声细。绝等伙伴李常茹的皮肤。,npc/lichangru_3,400
108,默认,touxiang_tuobadi,拓跋迪默认皮肤,npc/tuobadi,
10801,帝女,touxiang_tuobadi1,帝女飞衔石，鲛人卖泪绡。绝等伙伴拓跋迪的皮肤。,npc/tuobadi_1,24
10802,蓝田玉暖,touxiang_tuobadi2,蓝田日暖玉生烟。绝等伙伴拓跋迪的皮肤。,npc/tuobadi_2,400
10803,金风玉露,touxiang_tuobadi3,天汉星如雨，千金笑东风。绝等伙伴拓跋迪的皮肤。,npc/tuobadi_3,400
10804,雪腴,touxiang_tuobadi4,玉液珠胶，雪腴霜腻，吹气胜兰香。绝等伙伴拓跋迪的皮肤。,npc/tuobadi_4,400
109,默认,touxiang_liweiyang,李未央默认皮肤,npc/liweiyang,
10901,桃夭,touxiang_liweiyang1,逃之夭夭，灼灼其华。绝等伙伴李未央的皮肤。,npc/liweiyang_1,2031
10902,溯回雪,touxiang_liweiyang2,若是为你，便能溯回那冰雪的力量。绝等伙伴李未央的皮肤。,npc/liweiyang_2,400
10903,玉骨红妆,touxiang_liweiyang3,冰霜作肌玉作骨，金风吹唤红妆来。绝等伙伴李未央的皮肤。,npc/liweiyang_3,400
110,默认,touxiang_chiyunnan,叱云南默认皮肤,npc/chiyunnan,
11001,御龙乘风,touxiang_chiyunnan2,长刀如镜照肝胆，乘风御龙破万州。绝等伙伴叱云南的限定皮肤。,npc/chiyunnan_2,28
11002,关山月,touxiang_chiyunnan1,关山月冷，一片清霜踏沧江。绝等伙伴叱云南的皮肤。,npc/chiyunnan_1,400
11003,风归云,touxiang_chiyunnan3,乱石惊涛岸，云息水龙吟。绝等伙伴叱云南的皮肤。,npc/chiyunnan_3,400
111,默认,touxiang_nalanyuaner,纳兰鸢儿默认皮肤,npc/nalanyuaner,
112,默认,touxiang_chiyunyan,叱云嫣默认皮肤,npc/chiyunyan,
113,默认,touxiang_suxinyao,苏昕瑶默认皮肤,npc/suxinyao,
114,默认,touxiang_situyi,司徒奕默认皮肤,npc/situyi,
115,默认,touxiang_yuwenyan,宇文炎默认皮肤,npc/yuwenyan,
201,默认,touxiang_yuanying,拓跋知默认皮肤,npc/yuanying,
202,默认,touxiang_tuobazhen,拓跋翰默认皮肤,npc/tuobazhen,
20201,貂裘换酒,touxiang_tuobazhen1,悲歌击筑，凭高酹酒，此兴悠哉。绝等伙伴拓跋翰的皮肤。,npc/tuobazhen_1,400
203,默认,touxiang_tuobacong,拓跋康默认皮肤,npc/tuobacong,
20301,武陵春,touxiang_tuobacong1,年少万兜鍪，坐断东南战未休。绝等伙伴拓跋康的皮肤。,npc/tuobacong_1,400
204,默认,touxiang_lichangxi,李常喜默认皮肤,npc/lichangxi,
205,默认,touxiang_lichangxiao,李常悦默认皮肤,npc/lichangxiao,
206,默认,touxiang_chiyunrou,叱云柔默认皮肤,npc/chiyunrou,
20601,凤栖梧,touxiang_chiyunrou1,凤侧鸾欹鬓脚斜，红攒黛敛眉心折。绝等伙伴叱云柔的皮肤。,npc/chiyunrou_1,400
207,默认,touxiang_chiyunhua,叱云海默认皮肤,npc/chiyunhua,
208,默认,touxiang_chiyuntian,叱云华默认皮肤,npc/chiyuntian,
209,默认,touxiang_chiyunhai,叱云天默认皮肤,npc/chiyunhai,
210,默认,touxiang_liminfeng,李敏峰默认皮肤,npc/liminfeng,
211,默认,touxiang_lixiaoran,李萧然默认皮肤,npc/lixiaoran,
212,默认,touxiang_taizifei,太子妃默认皮肤,npc/taizifei,
21201,步蟾宫,touxiang_taizifei1,广寒夜捣玄霜细，玉龙睡重痴涎坠。绝等伙伴太子妃的皮肤。,npc/taizifei_1,400
213,默认,touxiang_lvzhaoyi,吕昭仪默认皮肤,npc/lvzhaoyi,
214,默认,touxiang_zhoushi,周氏默认皮肤,npc/zhoushi,
215,默认,touxiang_wenshi,温氏默认皮肤,npc/wenshi,
216,默认,touxiang_tanshi,谈氏默认皮肤,npc/tanshi,
217,默认,touxiang_juntao,君桃默认皮肤,npc/juntao,
21701,自芳菲,touxiang_juntao1,任凭寒风吹徹，桃花作雪自芳菲。绝等伙伴君桃的皮肤。,npc/juntao_1,25
21702,霜纨白练,touxiang_juntao2,银鞍照白马，飒沓如流星。绝等伙伴君桃的皮肤。,npc/juntao_2,400
218,默认,touxiang_baizhi,白芷默认皮肤,npc/baizhi,
21801,清浅韶华,touxiang_baizhi1,白衣蹁跹拂韶光，桃溪携手度华年。佳等伙伴白芷的皮肤。,npc/baizhi_1,2038
219,默认,touxiang_ziyan,紫烟默认皮肤,npc/ziyan,
21901,泗水寻芳,touxiang_ziyan1,春归不知何处去，流水汤汤寻芳华。佳等伙伴紫烟的皮肤。,npc/ziyan_1,2030
220,默认,touxiang_tanxiang,檀香默认皮肤,npc/tanxiang,
221,默认,touxiang_jiaotongling,焦统领默认皮肤,npc/jiaotongling,
222,默认,touxiang_chunming,春茗默认皮肤,npc/chunming,
223,默认,touxiang_chengde,承德默认皮肤,npc/chengde,
22301,贺良辰,touxiang_chengde1,剑意铿锵奏古曲，良辰美景照山河。佳等伙伴承德的皮肤。,npc/chengde_1,19
22302,逍遥客,touxiang_chengde2,仗剑红尘已是癫，有酒平步上青天。佳等伙伴承德的皮肤。,npc/chengde_2,400
224,默认,touxiang_chengan,承安默认皮肤,npc/chengan,
225,默认,touxiang_zhoutianshou,周忘尘默认皮肤,npc/zhoutianshou,
226,默认,touxiang_yitianzhao,张安寿默认皮肤,npc/yitianzhao,
227,默认,touxiang_baifashi,白法师默认皮肤,npc/baifashi,
228,默认,touxiang_mingshu,明叔默认皮肤,npc/mingshu,
229,默认,touxiang_roufei,静妃默认皮肤,npc/roufei,
230,默认,touxiang_yongninggongzhu,万安公主默认皮肤,npc/yongninggongzhu,
301,默认,touxiang_fengqianmo,风阡陌默认皮肤,npc/fengqianmo,
302,默认,touxiang_hongluo,红罗默认皮肤,npc/zhaoyue,
303,默认,touxiang_suyuyin,苏余音默认皮肤,npc/suyuyin,
304,默认,touxiang_ouyangya,欧阳雅默认皮肤,npc/ouyangya,
305,默认,touxiang_lvchan,吕蝉默认皮肤,npc/lvchan,
306,默认,touxiang_luoshuihe,洛水荷默认皮肤,npc/luoshuihe,
307,默认,touxiang_yuyin,于音默认皮肤,npc/yuyin,
308,默认,touxiang_azi,阿紫默认皮肤,npc/hongluo,
309,默认,touxiang_ouyanglan,欧阳岚默认皮肤,npc/ouyanglan,
310,默认,touxiang_guye,古夜默认皮肤,npc/guye,
